Site,Dist,Site name,Start,End,Lat,Lon,STA
3078,3,CADJEBUT,1987,2003,-18.7267,125.9875,WA
3079,3,SHELAMAR,1989,..,-18.9897,121.7208,WA
3080,3,CURTIN AERO,1989,..,-17.5768,123.8297,WA
3081,3,CURTIN,1990,1995,-17.5778,123.8222,WA
3082,3,KIRBY GARDENS,1991,2011,-17.8672,122.3631,WA
3083,3,BROOME BIRD OBSERVATORY,1991,1997,-17.9769,122.3431,WA
3084,3,DERBY (MANNING RD),1992,..,-17.3436,123.6781,WA
3085,3,MOUNT JOWLAENGA,1992,2002,-17.4311,123.0389,WA
3086,3,WILLARE BRIDGE,1992,..,-17.7278,123.6547,WA
3087,3,TANJUNGPANDAN,1993,2000,-17.5606,122.1458,WA
3088,2,LARRAWA,1995,..,-18.8375,126.5247,WA
3089,3,BROOME COMPARISON,1995,2000,-17.9492,122.2339,WA
3090,3,DEBESA,1995,..,-17.7981,124.0772,WA
3091,3,BEEFWOOD PARK,1996,..,-18.9894,125.8478,WA
3092,3,SOUTH EAST WATERBANK,1996,1999,-17.8578,122.2725,WA
3093,3,FITZROY CROSSING AERO,1997,..,-18.1814,125.5619,WA
3094,3,WINDJANA GORGE,1997,..,-17.4211,124.9246,WA
3095,3,PILLARA SPRINGS,1998,2003,-18.3192,125.7806,WA
3097,3,BEVERLEY SPRINGS AIRSTRIP,1999,2002,-16.73,125.4386,WA
3098,3,MOUNT HOUSE AIRSTRIP,2002,..,-17.0535,125.712,WA
3099,3,LEOPOLD DOWNS TBRG,2011,..,-17.7535,125.3807,WA
3100,3,LIVERINGA STATION,2001,..,-17.9503,124.2653,WA
3101,3,DAMPIER DOWNS AIRSTRIP,2006,..,-18.5096,123.4676,WA
3102,3,BROOME NTC AWS,1991,..,-18.0015,122.2176,WA
3103,3,MIDDLE LAGOON,2004,..,-16.7742,122.5762,WA
3104,3,BIDAN,2005,..,-17.645,123.1678,WA
3105,3,LAUREL DOWNS,2007,..,-18.1105,125.3347,WA
3106,3,ELLENDALE MINESITE,2007,2015,-17.5669,124.8411,WA
3107,3,SILVER GULL CREEK,2014,2015,-16.1903,123.7025,WA
3108,3,YAMPI SOUND (DEFENCE),2018,..,-16.7671,123.981,WA
3109,3,BROOME NTC AWS COMPARISON,2011,..,-18.0008,122.2183,WA
4000,4,ABYDOS,1917,1974,-21.4167,118.9333,WA
4001,4,WOODBROOK,1897,1974,-20.9,117.1167,WA
4002,4,PORT HEDLAND POST OFFICE,1897,1948,-20.3139,118.5742,WA
4003,4,BALFOUR DOWNS,1907,1998,-22.8,120.8625,WA
4004,4,BAMBOO CREEK,1897,..,-20.9264,120.2075,WA
4005,4,BAMBOO SPRINGS,1905,1978,-22.0517,119.6325,WA
4006,4,BONNEY DOWNS,1907,..,-22.1828,119.935,WA
4007,4,BOODARIE,1887,1973,-20.4,118.4667,WA
4008,4,CARLINDIE,1907,..,-20.6392,119.2431,WA
4009,4,COONGAN STATION,1904,1974,-20.6833,119.6667,WA
4010,4,COOYA POOYA,1900,1974,-21.0333,117.1333,WA
4011,4,CORUNNA DOWNS,1897,1975,-21.4667,119.8333,WA
4012,4,DE GREY,1888,..,-20.1756,119.1908,WA
4013,4,ETTRICK,1901,1964,-20.5167,119.6667,WA
4014,4,EGINBAH,1930,1974,-20.85,119.7667,WA
